3000.2500 5.890234e-13
3000.7500 5.886950e-13
3001.2500 5.883438e-13
3001.7500 5.879928e-13
3002.2500 5.876420e-13
3002.7500 5.872916e-13
3003.2500 5.869410e-13
3003.7500 5.865914e-13
3004.2500 5.862418e-13
3004.7500 5.858922e-13
3005.2500 5.855430e-13
3005.7500 5.851940e-13
3006.2500 5.848456e-13
3006.7500 5.844968e-13
3007.2500 5.841488e-13
3007.7500 5.838008e-13
3008.2500 5.834530e-13
3008.7500 5.831058e-13
3009.2500 5.827588e-13
3009.7500 5.824116e-13
3010.2500 5.820650e-13
3010.7500 5.817186e-13
3011.2500 5.813726e-13
3011.7500 5.810268e-13
3012.2500 5.806810e-13
3012.7500 5.803360e-13
3013.2500 5.799910e-13
3013.7500 5.796460e-13
3014.2500 5.793010e-13
3014.7500 5.789568e-13
3015.2500 5.786128e-13
3015.7500 5.782688e-13
3016.2500 5.779254e-13
3016.7500 5.775816e-13
3017.2500 5.772388e-13
3017.7500 5.768958e-13
3018.2500 5.765532e-13
3018.7500 5.762108e-13
3019.2500 5.758688e-13
3019.7500 5.755266e-13
3020.2500 5.751854e-13
3020.7500 5.748440e-13
3021.2500 5.745028e-13
3021.7500 5.741620e-13
3022.2500 5.738214e-13
3022.7500 5.734810e-13
3023.2500 5.731410e-13
3023.7500 5.728010e-13
3024.2500 5.724614e-13
3024.7500 5.721222e-13
3025.2500 5.717832e-13
3025.7500 5.714442e-13
3026.2500 5.711056e-13
3026.7500 5.707674e-13
3027.2500 5.704290e-13
3027.7500 5.700912e-13
3028.2500 5.697536e-13
3028.7500 5.694162e-13
3029.2500 5.690790e-13
3029.7500 5.687420e-13
3030.2500 5.684056e-13
3030.7500 5.680692e-13
3031.2500 5.677328e-13
3031.7500 5.673970e-13
3032.2500 5.670614e-13
3032.7500 5.667260e-13
3033.2500 5.663910e-13
3033.7500 5.660560e-13
3034.2500 5.657210e-13
3034.7500 5.653866e-13
3035.2500 5.650528e-13
3035.7500 5.647188e-13
3036.2500 5.643848e-13
3036.7500 5.640514e-13
