prodcatg,mode,detector,date,n,edge_med,full_med,row_struct,col_struct
CAL.R-ARC,FAST,4.B.Blue,2026-05-02,11,871.0,877.0,5.141,10.108
CAL.R-ARC,FAST,4.B.Blue,2026-06-30,9,867.0,876.0,7.14,14.463
CAL.R-ARC,FAST,4.B.Green,2026-04-07,10,799.0,808.0,8.762,9.653
CAL.R-ARC,FAST,4.B.Green,2026-05-02,11,795.0,803.0,7.32,7.987
CAL.R-ARC,FAST,4.B.Green,2026-06-30,9,792.0,803.0,10.317,11.551
CAL.R-ARC,FAST,4.B.Red,2026-04-07,10,1931.0,1943.5,221.714,771.915
CAL.R-ARC,FAST,4.B.Red,2026-05-02,11,1926.0,1937.0,198.809,679.922
CAL.R-ARC,FAST,4.B.Red,2026-06-30,9,1917.0,1931.0,248.368,881.538
CAL.R-ARC,SLOW,1.A.Green,2026-04-07,3,693.0,724.0,32.05,49.744
CAL.R-ARC,SLOW,1.A.Green,2026-05-02,3,692.0,721.0,30.104,46.308
CAL.R-ARC,SLOW,1.A.Green,2026-06-30,3,693.0,727.0,33.995,52.992
CAL.R-ARC,SLOW,1.A.Red,2026-04-07,3,1682.0,1740.0,481.466,1955.702
CAL.R-ARC,SLOW,1.A.Red,2026-05-02,3,1680.0,1734.0,475.866,1936.543
CAL.R-ARC,SLOW,1.A.Red,2026-06-30,3,1682.0,1746.0,507.513,2122.366
CAL.R-ARC,SLOW,1.B.Blue,2026-04-07,3,704.0,734.0,33.804,70.205
CAL.R-ARC,SLOW,1.B.Blue,2026-05-02,3,704.0,735.0,32.374,68.924
CAL.R-ARC,SLOW,1.B.Blue,2026-06-30,3,704.0,733.0,35.305,71.562
CAL.R-ARC,SLOW,1.B.Green,2026-04-07,3,661.0,726.0,47.779,70.252
CAL.R-ARC,SLOW,1.B.Green,2026-05-02,3,661.0,725.0,46.413,68.396
CAL.R-ARC,SLOW,1.B.Green,2026-06-30,3,661.0,726.0,49.536,71.015
CAL.R-ARC,SLOW,1.B.Red,2026-04-07,3,1714.0,1814.0,561.361,3502.803
CAL.R-ARC,SLOW,1.B.Red,2026-05-02,3,1714.0,1812.0,555.01,3461.988
CAL.R-ARC,SLOW,1.B.Red,2026-06-30,3,1715.0,1819.0,570.902,3561.57
CAL.R-ARC,SLOW,2.A.Blue,2026-04-07,3,551.0,583.0,40.407,76.177
CAL.R-ARC,SLOW,2.A.Blue,2026-05-02,3,551.0,579.0,38.91,71.946
CAL.R-ARC,SLOW,2.A.Blue,2026-06-30,3,550.0,586.0,42.069,80.712
CAL.R-ARC,SLOW,2.A.Green,2026-04-07,3,637.0,682.0,45.237,58.447
CAL.R-ARC,SLOW,2.A.Green,2026-05-02,3,637.0,677.0,43.227,55.173
CAL.R-ARC,SLOW,2.A.Green,2026-06-30,3,637.0,686.0,46.228,61.861
CAL.R-ARC,SLOW,2.A.Red,2026-04-07,3,1613.0,1693.0,704.654,2963.761
CAL.R-ARC,SLOW,2.A.Red,2026-05-02,3,1612.0,1686.0,685.243,2842.206
CAL.R-ARC,SLOW,2.A.Red,2026-06-30,3,1616.0,1702.0,720.999,3082.272
CAL.R-ARC,SLOW,2.B.Blue,2026-04-07,3,504.0,523.0,40.755,72.087
CAL.R-ARC,SLOW,2.B.Blue,2026-05-02,3,504.0,523.0,39.687,70.671
CAL.R-ARC,SLOW,2.B.Blue,2026-06-30,3,504.0,523.0,41.881,74.162
CAL.R-ARC,SLOW,2.B.Green,2026-04-07,3,632.0,691.0,58.888,70.745
CAL.R-ARC,SLOW,2.B.Green,2026-05-02,3,631.0,690.0,57.734,68.959
CAL.R-ARC,SLOW,2.B.Green,2026-06-30,3,631.0,690.0,60.958,72.36
CAL.R-ARC,SLOW,2.B.Red,2026-04-07,3,1595.0,1690.0,731.985,3304.947
CAL.R-ARC,SLOW,2.B.Red,2026-05-02,3,1594.0,1687.0,721.147,3245.083
CAL.R-ARC,SLOW,2.B.Red,2026-06-30,3,1595.0,1692.0,740.727,3359.394
CAL.R-ARC,SLOW,3.A.Blue,2026-04-07,3,495.0,516.0,1422.091,74.247
CAL.R-ARC,SLOW,3.A.Blue,2026-05-02,3,495.0,513.0,1422.085,70.593
CAL.R-ARC,SLOW,3.A.Blue,2026-06-30,3,495.0,518.0,1422.084,77.865
CAL.R-ARC,SLOW,3.A.Green,2026-04-07,3,694.0,725.0,51.561,57.274
CAL.R-ARC,SLOW,3.A.Green,2026-05-02,3,695.0,723.0,49.62,54.609
CAL.R-ARC,SLOW,3.A.Green,2026-06-30,3,694.0,728.0,54.097,60.182
CAL.R-ARC,SLOW,3.A.Red,2026-04-07,3,1710.0,1782.0,598.487,2220.51
CAL.R-ARC,SLOW,3.A.Red,2026-05-02,3,1710.0,1780.0,588.514,2153.12
CAL.R-ARC,SLOW,3.A.Red,2026-06-30,3,1713.0,1790.0,609.891,2298.497
CAL.R-ARC,SLOW,3.B.Blue,2026-04-07,3,836.0,882.0,50.357,97.124
