Pixel,Height,Wavelength
259.5,80.55762398894912,
361.25,375.4883549584814,3545.6
379.25,374.6185568488404,3559.51
413.25,210.39483598853263,3588.44
442.5,283.3312590855239,
479.25,384.5688918441931,
500.5,375.80605669354253,
539.5,219.11906084804735,
574.5,1014.2754406779248,3719.43
577.25,277.1743134416909,
597.5,205.58855021067575,
601.75,324.4654404780226,
623.75,131.70638931832485,
628.75,96.17122033870986,
639.5,478.10322079351374,
651.5,195.27447447266326,
679.5,785.5368525404591,
707.75,68.66698078555943,
711.5,821.5463497838243,3828.38
714.5,318.7859610286994,
722.75,243.5734811788204,
725.75,801.7543167602664,3839.75
739.75,252.11180701687618,
762.5,166.15781470691408,
769.5,846.0532958391767,
776.5,78.51722077498694,
785.75,146.87043621137443,
826.75,115.6255487828602,
835,410.4336605787486,3925.09
844.75,283.32432282239023,3932.55
861.75,384.1845471237967,
862.75,414.9575990834449,
864.75,647.0803547,
866.75,522.5202538378678,
877.75,136.81249277510247,
889.5,371.15010445281644,
895.75,232.94404023448485,
907.75,295.10359826930426,
918.5,263.99652654887876,
924.5,367.9912373692894,
933.25,108.6698087744088,
947.5,347.48126246631233,
956.25,1139.0113743165375,
960.25,73.58560308599759,
966.5,122.95850335667713,
971.5,576.8910922,
978.5,973.5279842994132,
988.5,568.2407044596725,
1000.75,422.45038273835803,
1022.25,182.7683229005062,
1025.5,952.2359168333154,
1037,336.01869554748566,
1044.25,355.9938638314338,
1059.25,228.33865598828808,
1063,436.18616674388124,
1067.5,485.3536839,
1073.5,209.25899014888148,
1079.25,629.1268130727916,
1084.25,307.0786489186414,
1104.25,1099.592597141409,4131.72
1119,120.21994458549582,
1140,2163.5842735247215,4158.59
1156,184.78165753289323,
1168,290.0269941612965,
1171.25,304.6009940434616,
1183.25,686.1815104555799,
1193.25,1362.5557351600103,
1196.25,1774.9243764702478,
1200.25,17.876337993258577,
1210,712.3154095197254,
1232.75,317.71458296808373,
1243,394.9142017311767,
1284.75,587.0583231579824,
1292.75,879.9445642,
1299.75,2127.0797610030845,
1305.75,357.60675365917535,
1330.5,706.8968189862253,
1348,455.25115354739404,
1369.75,105.49037426768236,
1372.75,442.8457695485469,
1391.75,224.97407492527208,
1395.75,1130.249806257034,
1422.75,144.90433083984342,
1427,669.3680041662094,
1431.75,422.35016379386093,
1442,322.30771321752326,
1446.5,131.39999020200867,
1468.5,409.33139425276545,
1479.5,314.7738612102849,
1503,761.0639718029075,
1509,394.9385673619422,
1513.5,129.33599911115283,
1552.25,161.69838220653952,
1571,309.82787952114876,
1580.75,592.5841363975787,
1588,143.2659933749572,
1596.75,1089.6215235752966,
1621,484.8704018181575,
1669.25,1197.6423248044878,4545.05
1684.5,52.59104148651975,
1717.75,385.9249296523188,4579.35
1732.75,514.2720875102801,4589.9
1740.75,182.0920040813769,
1760.75,764.8655487720616,4609.57
1829.75,255.27651088494406,4657.9
